Organisation,Org ID,Sub Org,Sub Org ID,Org Target Migration Data,Application,Application ID,App Category,App Environment,App Subcategory,Certificates Used,Cryptography Algorithms Used,Changed Algorithms,Replaced With (Algorithms),Algorithm Change Reason,Algorithm Change Status,Changed Certificates,Replaced With (Certificates),Certificate Change Reason,Certificate Change Status,PQC Vulnerable Algorithms,PQC Vulnerable Certificates,NIST Compliant,PCI DSS Compliant,HIPAA Compliant,Non-Compliant,NSM-10 Compliant
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2028,Flywheel Research Data,550004013,Repository,Production,Data Engine,TLS 1.3; S/MIME,ECC; SHA-512; Kyber-512,,,No Change,,,,No Change,,ECC; SHA-512,S/MIME,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2029,Okta Identity Engine,550005013,Application,Production,Auth Service,TLS 1.3,SHA-512; RSA-2048; Dilithium-2,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; RSA-2048,,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2030,SSI Claims Director,550006013,Application,Dev,Claims Processing,SSL,SHA-1; ECC,SHA-1; ECC,"SHA-3; Kyber-512",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,SSL,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q2 2029,Compulink Healthcare,550001014,Application,Production,Clinical Workbench,TLS 1.2,RSA-2048; SHA-256,,,No Change,,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Planned,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2030,Mach7 VNA,550002014,Database,Production,Imaging Archive,TLS 1.2,SHA-256; ECC; Dilithium-2,,,No Change,,,,No Change,,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2028,OnCall Health Platform,550003014,Application,Production,Web UI,TLS 1.3,SHA-512; ECC,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; ECC,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2029,Fabric Genomics Platform,550004014,Application,UAT,Genomics,Code Signing,SHA-1; RSA-2048,SHA-1; RSA-2048,"SHA-3; Kyber-512",Outdated hash and classical algos,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2030,Nutanix Karbon,550005014,Server,Production,Virtualization,TLS 1.2; Code Signing,SHA-256; RSA-2048,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-256; RSA-2048,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2029,Quadax Xpeditor,550006014,Application,Production,Claims Processing,TLS 1.2,SHA-256; ECC,SHA-256; ECC,"SHA-3; Kyber-512",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q4 2030,WRS Health EHR,550001015,Application,Dev,Web UI,SSL,SHA-1; ECC,SHA-1; ECC,"SHA-3; Dilithium-2",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,SSL,FALSE,FALSE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2029,Merge PACS,550002015,Server,Production,Imaging Archive,TLS 1.2,RSA-2048; SHA-256; Kyber-1024,,,No Change,,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2030,TigerConnect API,550003015,Server,Production,API Service,TLS 1.3,SHA-512; ECC; Dilithium-2,,,No Change,,,,No Change,,SHA-512; ECC,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2029,Tempus Labs Engine,550004015,Application,Production,Analytics,Code Signing,SHA-256; RSA-2048,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q4 2030,HashiCorp Vault,550005015,Server,Production,Security,TLS 1.2,SHA-512; ECC,SHA-512; ECC,"SHA-3; Kyber-512",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-512; ECC,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q1 2029,Experian Health Gateway,550006015,Network Device,Production,Claims Processing,TLS 1.2,SHA-1; RSA-2048,SHA-1,SHA-3,Outdated hash function,Completed,,,No Change,,SHA-1; RSA-2048,TLS 1.2,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q2 2029,PointClickCare EHR,550001016,Application,Production,Clinical Workbench,TLS 1.2; Code Signing,SHA-256; ECC,ECC,Kyber-512,Classical algorithm not PQC-safe,Planned,,,No Change,,SHA-256; ECC,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q3 2029,Ambra Health Suite,550002016,Application,UAT,Imaging Archive,SSL; S/MIME,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,SSL; S/MIME,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q4 2030,Cisco Webex for Healthcare,550003016,Application,Dev,Microservice,TLS 1.2,SHA-512; ECC,SHA-512,SHA-3,Classical algorithm not PQC-safe,Completed,,,No Change,,SHA-512; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q1 2030,Foundation Medicine Insights,550004016,Database,Production,Genomics,Code Signing,SHA-1; ECC,SHA-1,SHA-3,Outdated hash function,Completed,,,No Change,,SHA-1; ECC,Code Signing,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q2 2029,Microsoft Defender for Cloud,550005016,Application,Production,Security,TLS 1.3,SHA-512; RSA-2048; Dilithium-2,,,No Change,,,,No Change,,SHA-512; RSA-2048,,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q3 2030,Vee Technologies Billing,550006016,Application,Testing,Billing Service,SSL,SHA-1; RSA-2048; ECC,SHA-1; RSA-2048; ECC,"SHA-3; Kyber-512; Dilithium-2",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,"SHA-1; RSA-2048; ECC",SSL,FALSE,TRUE,TRUE,FALSE,FALSE
Cleveland Clinic,550,EHR Systems,550001,Q4 2029,MatrixCare EHR,550001017,Application,Production,Clinical Workbench,TLS 1.2,SHA-256; ECC,ECC,Dilithium-2,Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2031,Change Healthcare Imaging,550002017,Server,Production,Imaging Archive,TLS 1.2,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,,,No Change,,RSA-2048; SHA-256,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2030,GlobalMed eNcounter,550003017,Network Device,QA,HL7 Processor,SSL,SHA-256; ECC,SHA-256,SHA-3,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; ECC,SSL,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q3 2031,Pure Storage FlashArray,550005017,Repository,Production,Storage,TLS 1.2; Code Signing,SHA-256; RSA-2048,RSA-2048,Kyber-512,Classical algorithm not PQC-safe,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q4 2031,Wellsky EHR,550001018,Database,Dev,Data Engine,TLS 1.2; S/MIME,ECC; SHA-512,,,No Change,,,,No Change,,ECC; SHA-512,TLS 1.2; S/MIME,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2030,Philips IntelliSpace Portal,550002018,Application,Production,Clinical Workbench,TLS 1.2,RSA-2048; SHA-512; Kyber-1024; Sphincs+,,,No Change,,,,No Change,,RSA-2048; SHA-512,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Patient Financial Services,550006,Q2 2031,Office Ally Clearinghouse,550006017,Application,Production,Claims Processing,SSL,SHA-1; ECC,SHA-1; ECC,"SHA-3; Dilithium-2",Outdated hash and classical algos,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-1; ECC,SSL,FALSE,TRUE,FALSE,TRUE,FALSE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q3 2030,Red Hat OpenShift,550005018,Server,Dev,Virtualization,TLS 1.2; Code Signing,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Planned,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Planned,RSA-2048; SHA-256,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,EHR Systems,550001,Q4 2030,Sevocity EHR,550001019,Application,UAT,Web UI,TLS 1.2; Code Signing,ECC; SHA-256,ECC,Kyber-512,Classical algorithm not PQC-safe,Completed,,,No Change,,ECC; SHA-256,TLS 1.2; Code Signing,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Radiology & Imaging,550002,Q1 2031,Siemens Healthineers AI-Rad,550002019,Application,QA,Analytics,TLS 1.2,RSA-2048; SHA-512,RSA-2048,Dilithium-2,Classical algorithm not PQC-safe,Completed,,,No Change,,RSA-2048; SHA-512,TLS 1.2,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Telemedicine Platform,550003,Q2 2031,Teladoc Solo Platform,550003018,Server,Production,Microservice,TLS 1.3,SHA-512; ECC; Dilithium-2; Sphincs+,,,No Change,,,,No Change,,SHA-512; ECC,,TRUE,FALSE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Clinical Research Analytics,550004,Q3 2031,Parexel Clinical Suite,550004017,Application,Production,Clinical Trials,Code Signing; TLS 1.2,SHA-1; RSA-2048; ECC,SHA-1; RSA-2048,"SHA-3; Kyber-1024",Outdated hash and classical algos,Completed,Code Signing,PQC Code Signing,Upgrade to PQC-compatible cert,Completed,SHA-1; RSA-2048; ECC,Code Signing; TLS 1.2,FALSE,FALSE,TRUE,FALSE,FALSE
Cleveland Clinic,550,Patient Financial Services,550006,Q4 2031,Parallon RCM Services,550006018,Application,Production,Billing Service,TLS 1.2,SHA-256; RSA-2048,SHA-256; RSA-2048,"SHA-3; Kyber-512",Classical algorithm not PQC-safe,Completed,TLS 1.2,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,SHA-256; RSA-2048,TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
Cleveland Clinic,550,Cloud Infrastructure Services,550005,Q1 2031,Citrix ADC,550005019,Network Device,Production,Load Balancer,SSL; TLS 1.2,RSA-2048; SHA-256,RSA-2048,Kyber-1024,Classical algorithm not PQC-safe,Completed,SSL,TLS 1.3 with PQC Cert,Upgrade to PQC-compatible cert,Completed,RSA-2048; SHA-256,SSL; TLS 1.2,TRUE,TRUE,TRUE,FALSE,TRUE
